time,open,high,low,close,Volume,ATR
1698686100,347.12,347.43,347.11,347.22,50202,0.5585580148826289
1698686400,347.209,348.02,347.06,348.02,56643,0.5872324423910111
1698686700,347.95,348.81,347.9,348.63,145282,0.6102872679345122
1698687000,348.68,349.05,348.49,348.53,83161,0.6066953202249044
1698687300,348.54,348.62,348.21,348.44,95835,0.5926456544945558
1698687600,348.45,348.78,348.4,348.695,42531,0.5774566791735156
1698687900,348.71,348.94,348.54,348.89,67414,0.5647812020896914
1698688200,348.9,349.35,348.79,349.25,59776,0.5644396876547136
1698688500,349.25,349.41,349.04,349.33,46244,0.5505511385365202
1698688800,349.33,349.39,349.12,349.38,73278,0.530511771498196
1698689100,349.39,349.45,348.94,349.12,101513,0.5290466449626099
1698689400,349.16,349.36,348.96,348.98,41336,0.519829027465283
1698689700,348.96,349.01,348.68,348.88,82991,0.5062698112177617
1698690000,348.86,349.19,348.73,349.04,53892,0.5029648247022058
1698690300,348.97,349.12,348.81,348.85,31562,0.4891816229377627
1698690600,348.87,349.24,348.87,349.17,28511,0.48209722129935006
1698690900,349.18,349.675,349.13,349.44,64973,0.48659027692082624
1698691200,349.44,349.7,349.32,349.64,42320,0.4789766857121954
1698691500,349.65,349.835,349.55,349.83,73224,0.465121208161322
1698691800,349.8,349.935,349.42,349.595,73783,0.46868397900694087
1698692100,349.56,349.7,349.35,349.58,61242,0.4602065519350141
1698692400,349.6,350.04,349.2,349.68,143327,0.4873346553682296
1698692700,349.68,349.94,349.53,349.6,91385,0.4818107514133579
1698693000,349.61,349.82,349.39,349.74,82737,0.4781099834552614
1698693300,349.745,349.89,349.59,349.87,68249,0.4653878417798864
1698693600,349.88,350.44,349.755,350.42,127395,0.4810744245098947
1698693900,350.4,350.43,349.83,349.86,89062,0.4895691084734753
1698694200,349.87,350.005,349.76,349.83,50509,0.47209988643965595
1698694500,349.82,350.02,349.73,349.86,83827,0.45909275169396363
1698694800,349.87,349.92,349.53,349.68,103206,0.4541575551443979
1698695100,349.68,349.7,349.41,349.56,106528,0.442432015491224
1698695400,349.57,349.66,349.26,349.44,168665,0.43940115724185336
1698695700,349.44,349.54,349.005,349.17,420217,0.4462296460102942
1698759000,349.23,349.45,348.15,348.21,215958,0.5072132427238454
1698759300,348.27,348.29,346.96,347.53,287207,0.5659837253864308
1698759600,347.52,347.61,347.03,347.13,123201,0.5669848878588316
1698759900,347.12,347.69,347.12,347.52,113833,0.5672002530117718
1698760200,347.5,347.56,346.63,347.22,126063,0.5931145206537886
1698760500,347.2,347.49,346.9,347.33,93568,0.5928920548928059
1698760800,347.31,347.48,346.87,347.1,109988,0.5941140509718922
1698761100,347.02,348.07,346.89,348.05,92940,0.6359630473310433
1698761400,348.04,348.89,348.04,348.44,249294,0.6512514010931092
1698761700,348.45,348.94,348.39,348.55,88898,0.6440191581578879
